% Moku:Go Frequency Response Analyzer
% Measurement mode: In / Out (dB)
% Channel 1 (on), AC , 1 MOhm , 10 Vpp, amplitude 5 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Channel 2 (off), DC , 1 MOhm , 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Logarithmic sweep from 1.000000 kHz to 200.0000 kHz with 8,192 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 935.0 ns (auto), normalization off
% Averaging time 2.00 ms, 3 cycles; Settling time 100 us, 1 cycles
% 
% Acquired 2026-04-23 T 11:28:44 +0200
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
1.00000000e+03, -5.0935e-01, -1.7926e+02
1.00064706e+03, 6.5256e-02, -1.8375e+02
1.00129453e+03, -7.0518e-01, -1.8198e+02
1.00194242e+03, -1.0454e+00, -1.8217e+02
1.00259074e+03, -5.6800e-01, -1.7893e+02
1.00323947e+03, -5.5114e-01, -1.7943e+02
1.00388862e+03, -4.7501e-01, -1.8631e+02
1.00453819e+03, -8.8220e-01, -1.8471e+02
1.00518819e+03, -5.2198e-01, -1.8276e+02
1.00583860e+03, 9.0182e-01, -1.7813e+02
1.00648943e+03, -3.1441e-01, -1.7975e+02
1.00714069e+03, -9.5754e-01, -1.8582e+02
1.00779236e+03, -7.9407e-01, -1.8329e+02
1.00844446e+03, -6.4916e-01, -1.8044e+02
1.00909698e+03, -1.2855e-01, -1.7958e+02
1.00974992e+03, -1.7545e-01, -1.8425e+02
1.01040329e+03, -6.9204e-01, -1.8329e+02
1.01105708e+03, -6.4387e-01, -1.8351e+02
1.01171129e+03, 2.7064e-02, -1.8015e+02
1.01236592e+03, -4.6069e-01, -1.8202e+02
1.01302098e+03, -3.5524e-01, -1.8038e+02
1.01367646e+03, -9.7626e-01, -1.8124e+02
1.01433236e+03, -2.8469e-02, -1.8156e+02
1.01498869e+03, -1.4035e-01, -1.8121e+02
1.01564545e+03, -5.8151e-01, -1.8383e+02
1.01630263e+03, -8.8285e-01, -1.7724e+02
1.01696023e+03, -2.3600e-01, -1.8053e+02
1.01761826e+03, -6.3317e-01, -1.8380e+02
1.01827672e+03, -6.6076e-01, -1.8542e+02
1.01893560e+03, -4.8871e-01, -1.7745e+02
1.01959491e+03, -1.3816e-01, -1.8087e+02
1.02025464e+03, -1.1204e+00, -1.8333e+02
1.02091481e+03, -1.0410e+00, -1.8096e+02
1.02157539e+03, -1.4776e-01, -1.8083e+02
1.02223641e+03, 1.6737e-01, -1.8442e+02
1.02289785e+03, 6.3688e-01, -1.7854e+02
1.02355973e+03, -9.5066e-01, -1.8045e+02
1.02422203e+03, -4.0078e-01, -1.8278e+02
1.02488476e+03, -8.8270e-01, -1.8179e+02
1.02554791e+03, -1.3644e+00, -1.7943e+02
1.02621150e+03, -9.2660e-02, -1.7961e+02
1.02687552e+03, -6.0078e-01, -1.8133e+02
1.02753996e+03, -1.0441e+00, -1.8225e+02
1.02820484e+03, -2.3260e-01, -1.7947e+02
1.02887014e+03, -3.7633e-01, -1.8251e+02
1.02953588e+03, -1.0701e+00, -1.8051e+02
1.03020205e+03, -6.1149e-02, -1.8076e+02
1.03086865e+03, -3.1094e-01, -1.8423e+02
1.03153568e+03, -9.1096e-01, -1.8436e+02
1.03220314e+03, -7.7819e-01, -1.7980e+02
1.03287103e+03, -3.1599e-01, -1.8245e+02
1.03353936e+03, -1.2072e+00, -1.8245e+02
1.03420811e+03, -1.2519e+00, -1.8472e+02
1.03487730e+03, -3.0190e-01, -1.7927e+02
1.03554693e+03, -5.0578e-01, -1.8535e+02
1.03621698e+03, -5.2975e-01, -1.7769e+02
1.03688747e+03, -4.4526e-01, -1.8330e+02
1.03755840e+03, -7.9904e-01, -1.8512e+02
1.03822976e+03, -9.0892e-01, -1.8056e+02
1.03890155e+03, -3.1578e-01, -1.8385e+02
1.03957378e+03, -1.0237e+00, -1.8348e+02
1.04024644e+03, -1.1520e+00, -1.8406e+02
1.04091954e+03, -4.3436e-01, -1.8120e+02
1.04159307e+03, -1.0516e+00, -1.8569e+02
1.04226704e+03, -1.4459e+00, -1.7883e+02
1.04294144e+03, -2.7893e-01, -1.8444e+02
1.04361629e+03, -8.1918e-01, -1.7828e+02
1.04429156e+03, -2.2958e-01, -1.7812e+02
1.04496728e+03, -9.7548e-01, -1.8144e+02
1.04564343e+03, -4.9516e-01, -1.7845e+02
1.04632002e+03, -1.4693e-01, -1.8164e+02
1.04699705e+03, -1.3665e+00, -1.8457e+02
1.04767451e+03, -9.1004e-01, -1.7958e+02
1.04835242e+03, -5.6665e-01, -1.8439e+02
1.04903076e+03, -1.1374e+00, -1.7992e+02
1.04970954e+03, -6.0800e-01, -1.7838e+02
1.05038876e+03, -8.5814e-01, -1.8195e+02
1.05106842e+03, -9.3361e-01, -1.7878e+02
1.05174852e+03, -9.0462e-02, -1.8186e+02
1.05242906e+03, -9.8978e-01, -1.8089e+02
1.05311004e+03, -2.6741e-01, -1.7727e+02
1.05379147e+03, -2.7553e-01, -1.8526e+02
1.05447333e+03, -1.2552e+00, -1.8284e+02
1.05515563e+03, -6.0753e-01, -1.8330e+02
1.05583838e+03, -1.0964e+00, -1.8185e+02
1.05652156e+03, -1.3895e-01, -1.7993e+02
1.05720519e+03, -4.7375e-01, -1.8550e+02
1.05788926e+03, -5.5632e-01, -1.8271e+02
1.05857377e+03, -6.1273e-02, -1.8200e+02
1.05925873e+03, -6.2289e-01, -1.7838e+02
1.05994413e+03, -4.2172e-02, -1.7859e+02
1.06062997e+03, -6.8328e-01, -1.8602e+02
1.06131626e+03, -1.0302e+00, -1.8091e+02
1.06200299e+03, -5.1887e-01, -1.8315e+02
1.06269017e+03, -9.0589e-01, -1.7885e+02
1.06337779e+03, -6.3653e-01, -1.7840e+02
1.06406585e+03, -7.6261e-01, -1.8302e+02
1.06475436e+03, -5.5656e-01, -1.7905e+02
1.06544332e+03, -5.0905e-01, -1.8088e+02
1.06613272e+03, -1.1102e-01, -1.7989e+02
1.06682257e+03, -6.0515e-01, -1.8355e+02
1.06751286e+03, -4.3225e-01, -1.7925e+02
1.06820360e+03, -1.7229e-01, -1.8069e+02
1.06889479e+03, -1.0009e+00, -1.8443e+02
1.06958642e+03, -3.5861e-01, -1.8246e+02
1.07027850e+03, -1.4045e+00, -1.8050e+02
1.07097104e+03, -1.9325e-02, -1.7852e+02
1.07166401e+03, -5.3762e-01, -1.8521e+02
1.07235744e+03, -6.3500e-01, -1.8071e+02
1.07305131e+03, -7.8354e-01, -1.7791e+02
1.07374564e+03, -2.0239e-01, -1.7959e+02
1.07444041e+03, -5.0267e-01, -1.8302e+02
1.07513564e+03, -6.3501e-01, -1.7774e+02
1.07583131e+03, -2.7682e-01, -1.8323e+02
1.07652743e+03, -8.2571e-02, -1.7804e+02
1.07722400e+03, -4.7290e-01, -1.8303e+02
1.07792103e+03, -3.3058e-01, -1.7671e+02
1.07861850e+03, -1.5213e-01, -1.8320e+02
1.07931643e+03, -1.4978e+00, -1.8245e+02
1.08001481e+03, -3.8594e-01, -1.7838e+02
1.08071364e+03, -8.9705e-01, -1.8583e+02
1.08141292e+03, -3.1704e-01, -1.8450e+02
1.08211266e+03, -1.4376e+00, -1.8794e+02
1.08281284e+03, -5.2397e-01, -1.8426e+02
1.08351348e+03, -1.6035e+00, -1.8194e+02
1.08421458e+03, 1.4055e-02, -1.7724e+02
1.08491612e+03, -4.7909e-01, -1.8407e+02
1.08561813e+03, -4.8465e-01, -1.8543e+02
1.08632058e+03, -1.1295e+00, -1.8136e+02
1.08702349e+03, -3.7291e-01, -1.8116e+02
1.08772686e+03, -1.2850e+00, -1.8018e+02
1.08843068e+03, -6.2997e-01, -1.8290e+02
1.08913495e+03, -6.5891e-01, -1.8385e+02
1.08983968e+03, -7.4634e-01, -1.8209e+02
1.09054487e+03, -1.0567e+00, -1.8065e+02
1.09125051e+03, -6.0480e-01, -1.8323e+02
1.09195661e+03, -9.0824e-01, -1.8033e+02
1.09266317e+03, -2.6788e-01, -1.8270e+02
1.09337019e+03, -5.4177e-01, -1.8223e+02
1.09407766e+03, -3.5657e-01, -1.8109e+02
1.09478559e+03, -4.7232e-01, -1.8257e+02
1.09549397e+03, -1.3058e+00, -1.8560e+02
1.09620282e+03, -4.4768e-01, -1.7929e+02
1.09691212e+03, -2.0245e+00, -1.9075e+02
1.09762189e+03, -4.0071e-01, -1.7832e+02
1.09833211e+03, -1.0689e+00, -1.8487e+02
1.09904279e+03, -1.4790e-01, -1.8259e+02
1.09975394e+03, -8.9047e-01, -1.7889e+02
1.10046554e+03, -5.4033e-01, -1.8418e+02
1.10117760e+03, -7.7041e-01, -1.7909e+02
1.10189012e+03, -2.6051e-03, -1.8294e+02
1.10260311e+03, -4.1425e-01, -1.7658e+02
1.10331655e+03, -9.2199e-01, -1.8303e+02
1.10403046e+03, -7.0475e-03, -1.8083e+02
1.10474483e+03, -9.9319e-01, -1.7774e+02
1.10545966e+03, -2.9787e-01, -1.8093e+02
1.10617496e+03, -1.1627e+00, -1.8108e+02
1.10689071e+03, -2.0259e-01, -1.7886e+02
1.10760693e+03, -9.4050e-01, -1.7983e+02
1.10832362e+03, -4.5447e-01, -1.7980e+02
1.10904077e+03, 2.5703e-01, -1.8193e+02
1.10975838e+03, -5.6916e-01, -1.7830e+02
1.11047645e+03, -9.8501e-03, -1.8222e+02
1.11119499e+03, -1.6446e+00, -1.7967e+02
1.11191400e+03, 8.2786e-02, -1.8219e+02
1.11263347e+03, -1.0131e+00, -1.8133e+02
1.11335340e+03, -9.5260e-01, -1.7922e+02
1.11407381e+03, 8.3508e-02, -1.8238e+02
1.11479467e+03, -6.5525e-01, -1.8130e+02
1.11551601e+03, -9.2828e-01, -1.8461e+02
1.11623781e+03, -1.3138e+00, -1.7847e+02
1.11696008e+03, -1.7011e+00, -1.7619e+02
1.11768281e+03, 1.0451e+00, -1.8467e+02
1.11840602e+03, -3.7450e-01, -1.8217e+02
1.11912969e+03, -9.6485e-01, -1.8401e+02
1.11985383e+03, -3.6869e-01, -1.7805e+02
1.12057844e+03, -1.0146e+00, -1.8664e+02
1.12130351e+03, -8.7121e-01, -1.7735e+02
1.12202906e+03, -4.2617e-01, -1.8288e+02
1.12275507e+03, -7.2257e-01, -1.8624e+02
1.12348156e+03, -4.4071e-01, -1.7808e+02
1.12420852e+03, -1.1107e+00, -1.8831e+02
1.12493594e+03, 3.4993e-01, -1.7916e+02
1.12566384e+03, -3.7557e-01, -1.8444e+02
1.12639221e+03, -9.0778e-01, -1.7811e+02
1.12712104e+03, 4.2021e-01, -1.8367e+02
1.12785035e+03, -1.1950e+00, -1.7494e+02
1.12858014e+03, 1.7758e-01, -1.8452e+02
1.12931039e+03, -1.5098e+00, -1.7662e+02
1.13004112e+03, 1.8585e-02, -1.8408e+02
1.13077232e+03, -1.4144e+00, -1.8116e+02
1.13150399e+03, 3.4337e-01, -1.7920e+02
1.13223614e+03, -2.0284e+00, -1.8160e+02
1.13296876e+03, -2.2565e-01, -1.8182e+02
1.13370185e+03, -1.8428e+00, -1.8141e+02
1.13443542e+03, -3.8039e-01, -1.8033e+02
1.13516946e+03, -5.7127e-01, -1.8232e+02
1.13590398e+03, -4.9904e-01, -1.7871e+02
1.13663897e+03, -9.6155e-01, -1.8538e+02
1.13737444e+03, -4.0240e-01, -1.8083e+02
1.13811039e+03, -4.2137e-01, -1.8719e+02
1.13884681e+03, -9.9890e-01, -1.7681e+02
1.13958371e+03, -1.2684e-01, -1.8609e+02
1.14032108e+03, -9.7536e-01, -1.7878e+02
1.14105893e+03, -3.3612e-01, -1.8644e+02
1.14179726e+03, -6.2565e-03, -1.7470e+02
1.14253607e+03, -7.2976e-01, -1.8673e+02
1.14327535e+03, -8.7377e-01, -1.8009e+02
1.14401512e+03, -6.2296e-01, -1.8306e+02
1.14475536e+03, -4.3452e-01, -1.7994e+02
1.14549608e+03, -5.7036e-01, -1.8084e+02
1.14623728e+03, -5.2578e-01, -1.8449e+02
1.14697896e+03, -3.9718e-01, -1.8141e+02
1.14772112e+03, -1.3020e+00, -1.8126e+02
1.14846376e+03, 3.0308e-01, -1.8217e+02
1.14920688e+03, -7.0722e-01, -1.7979e+02
1.14995048e+03, -5.2102e-01, -1.8452e+02
1.15069456e+03, -6.0523e-01, -1.7964e+02
1.15143912e+03, -1.1396e-02, -1.8557e+02
1.15218417e+03, -7.0646e-02, -1.7719e+02
1.15292970e+03, -1.2250e+00, -1.8202e+02
1.15367571e+03, -4.4935e-01, -1.8427e+02
1.15442220e+03, -5.3917e-01, -1.7951e+02
1.15516918e+03, -1.3870e+00, -1.8004e+02
1.15591664e+03, -3.8910e-01, -1.8617e+02
1.15666458e+03, -7.2761e-01, -1.7960e+02
1.15741300e+03, -7.6751e-01, -1.8298e+02
1.15816192e+03, -6.1694e-01, -1.8171e+02
1.15891131e+03, -8.8115e-01, -1.8070e+02
1.15966119e+03, -1.3994e-01, -1.8446e+02
1.16041156e+03, -3.5990e-01, -1.8189e+02
1.16116241e+03, -1.3072e+00, -1.8595e+02
1.16191375e+03, 1.0168e-01, -1.8256e+02
1.16266557e+03, -6.1796e-01, -1.7897e+02
1.16341788e+03, -3.4021e-01, -1.8448e+02
1.16417067e+03, 1.6975e-01, -1.8207e+02
1.16492396e+03, -8.1772e-01, -1.8095e+02
1.16567773e+03, -6.8954e-01, -1.8220e+02
1.16643199e+03, -7.3078e-01, -1.8229e+02
1.16718673e+03, -4.9484e-01, -1.7896e+02
1.16794197e+03, -8.2181e-01, -1.8443e+02
1.16869769e+03, -3.0017e-01, -1.7961e+02
1.16945391e+03, -1.0462e+00, -1.8052e+02
1.17021061e+03, -8.9624e-01, -1.8515e+02
1.17096780e+03, -3.7204e-02, -1.8302e+02
1.17172548e+03, -4.7604e-01, -1.7784e+02
1.17248365e+03, -9.9360e-01, -1.8421e+02
1.17324232e+03, -2.6472e-01, -1.8078e+02
1.17400147e+03, -4.6778e-01, -1.7920e+02
1.17476111e+03, -1.1989e+00, -1.8021e+02
1.17552125e+03, -5.6455e-01, -1.8233e+02
1.17628188e+03, -2.0286e-01, -1.8179e+02
1.17704300e+03, -8.9906e-01, -1.8056e+02
1.17780461e+03, 2.7174e-01, -1.8390e+02
1.17856672e+03, -5.6262e-01, -1.7794e+02
1.17932931e+03, -7.9448e-01, -1.7893e+02
1.18009241e+03, -5.1597e-01, -1.8575e+02
1.18085599e+03, -2.6275e-02, -1.8105e+02
1.18162007e+03, -6.3184e-01, -1.7768e+02
1.18238465e+03, -1.1269e+00, -1.8046e+02
1.18314972e+03, -3.6266e-01, -1.9128e+02
1.18391528e+03, -1.9876e-01, -1.8012e+02
1.18468134e+03, -4.7397e-01, -1.7828e+02
1.18544789e+03, -1.2237e+00, -1.8257e+02
1.18621495e+03, 7.8632e-02, -1.8300e+02
1.18698249e+03, -8.0628e-01, -1.7987e+02
1.18775054e+03, -5.0009e-01, -1.8058e+02
1.18851908e+03, -5.2932e-01, -1.8499e+02
1.18928812e+03, -2.2845e-01, -1.7985e+02
1.19005765e+03, -8.5435e-01, -1.7784e+02
1.19082769e+03, -1.3395e+00, -1.8164e+02
1.19159822e+03, -7.2851e-01, -1.8433e+02
1.19236925e+03, 2.8263e-01, -1.8065e+02
1.19314078e+03, -1.3203e-01, -1.8120e+02
1.19391281e+03, -1.4893e+00, -1.7951e+02
1.19468534e+03, -7.2474e-01, -1.8544e+02
1.19545836e+03, 6.3577e-02, -1.8339e+02
1.19623189e+03, 6.6378e-02, -1.7726e+02
1.19700592e+03, -9.1829e-01, -1.7818e+02
1.19778045e+03, -1.5640e+00, -1.8705e+02
1.19855548e+03, -4.3623e-01, -1.8348e+02
1.19933101e+03, -7.0546e-01, -1.8357e+02
